(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07C87QPG7,B00NMSZ7SM,Mermaid Tail Black Fin Costume (XXL),mermaidfin001BLACK-XXL,85,0,0.03%,0.00%,89,0,0.02%,0.00%,96.30%,0.00%,1,0,1.18%,0.00%,$19.95,$0.00,1,0
B07C4NS96P,B00NPB30BC,Power Rangers Blue Hooded Costume Sweatshirt (Adult XXX-Large),powerrangerssweatshirtBlue-XXXL,46,0,0.02%,0.00%,52,0,0.01%,0.00%,100.00%,0.00%,1,0,2.17%,0.00%,$53.95,$0.00,1,0
B0727SF1GZ,B00NQGCWRO,Teenage Mutant Ninja Turtles Costume Green Juniors T-Shirt Tee,tmnt020r-XXL,13,0,0.00%,0.00%,14,0,0.00%,0.00%,100.00%,0.00%,1,0,7.69%,0.00%,$18.95,$0.00,1,0
B0727SF1GZ,B00NQGCZ1C,Teenage Mutant Ninja Turtles Costume Green Juniors T-Shirt Tee,tmnt020l-XXL,14,0,0.00%,0.00%,18,0,0.00%,0.00%,100.00%,0.00%,1,0,7.14%,0.00%,$18.95,$0.00,1,0
B00G6QMNKM,B00NZDIMDG,Where The Wild Things are Max Wolf Adult Costume (Adult X-Small),wildthingscostume001-XS,523,1,0.17%,0.03%,770,1,0.20%,0.02%,97.92%,100.00%,1,0,0.19%,0.00%,$79.95,$0.00,1,0
B00O4R33J0,B00O18BIJO,Reversible Child Green and Green Superhero Costume Cape (Child),superherocape002CHILDgrn-grn,8,1,0.00%,0.03%,10,3,0.00%,0.07%,100.00%,100.00%,1,1,12.50%,100.00%,$7.87,$7.87,1,1
B00O4R33J0,B00O18BXK8,Reversible Child Orange and Green Superhero Costume Cape (Child),superherocape002CHILDorng-grn,10,0,0.00%,0.00%,12,0,0.00%,0.00%,81.82%,0.00%,1,0,10.00%,0.00%,$7.95,$0.00,1,0
B07BTS225F,B00O18BZ88,Reversible Adult Gold and Red Superhero Costume Cape (Adult),superherocape002ADULTgold-red,93,2,0.03%,0.06%,111,3,0.03%,0.07%,97.20%,100.00%,1,0,1.08%,0.00%,$12.95,$0.00,1,0
B07BTS225F,B00O18C212,Reversible Adult Black and Blue Superhero Costume Cape (Adult),superherocape002ADULTblk-blu,34,0,0.01%,0.00%,36,0,0.01%,0.00%,96.55%,0.00%,16,0,47.06%,0.00%,$207.20,$0.00,1,0
B07BTS225F,B00O18C2OE,Reversible Adult Blue and Blue Superhero Costume Cape (Adult),superherocape002ADULTblu-blu,6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,30,0,500.00%,0.00%,$388.50,$0.00,1,0
